Disease,Recommended Medicine,Precaution,Symptoms
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
Asthma,Albuterol,"Avoid allergens, use inhaler when needed","Wheezing, shortness of breath, chest tightness"
Bronchitis,Azithromycin,"Drink warm fluids, avoid smoking","Persistent cough, mucus production, fatigue"
Allergy,Cetirizine,"Avoid allergens, take antihistamines","Sneezing, itchy eyes, skin rashes"
Pneumonia,Amoxicillin,"Take antibiotics, rest well","Fever, cough with phlegm, chest pain"
Cold,Antihistamines,"Drink warm fluids, rest","Sneezing, runny nose, sore throat"
Flu,Oseltamivir,"Get plenty of rest, drink warm fluids","Fever, chills, muscle pain, fatigue"
Anemia,Iron Supplements,"Eat iron-rich foods, take supplements","Fatigue, pale skin, dizziness"
Arthritis,Ibuprofen,"Exercise regularly, take anti-inflammatory medicine","Joint pain, stiffness, swelling"
Back Pain,Naproxen,"Apply heat/cold packs, maintain good posture","Lower back pain, stiffness, muscle spasms"
Sinusitis,Nasal Spray,"Use steam inhalation, take decongestants","Facial pain, nasal congestion, headache"
Food Poisoning,"ORS, Anti-emetics","Stay hydrated, avoid solid food for a while","Nausea, vomiting, diarrhea"
Gastritis,Omeprazole,"Avoid spicy food, take antacids","Stomach pain, bloating, nausea"
Urinary Tract Infection,Ciprofloxacin,"Drink lots of water, take antibiotics","Burning sensation while urinating, frequent urination"
Osteoporosis,"Calcium, Vitamin D","Regular exercise, maintain calcium intake","Bone weakness, fractures, back pain"
Thyroid Disorder,Levothyroxine,"Regular blood tests, maintain iodine intake","Fatigue, weight changes, hair thinning"
Malaria,Chloroquine,"Use mosquito nets, take prescribed antimalarials","High fever, chills, sweating"
Typhoid,Ceftriaxone,"Eat soft foods, maintain good hygiene","Fever, abdominal pain, weakness"
Dengue,Acetaminophen,"Stay hydrated, avoid NSAIDs","High fever, severe headaches, skin rash"
Chikungunya,Pain Relievers,"Drink fluids, rest properly","Joint pain, fever, rash"
COVID-19,"Paracetamol, Rest","Wear masks, sanitize hands regularly","Fever, cough, loss of taste and smell"
Skin Infection,Antibiotic Cream,"Keep area clean, avoid scratching","Redness, swelling, pus formation"
Tuberculosis,Rifampin,Complete full course of antibiotics,"Persistent cough, weight loss, night sweats"
Hepatitis B,Antiviral Drugs,"Get vaccinated, avoid alcohol","Jaundice, nausea, dark urine"
Epilepsy,Valproate,"Regular medication, avoid triggers","Seizures, confusion, unconsciousness"
Depression,SSRIs,"Therapy, maintain social support","Sadness, loss of interest, sleep disturbances"
Anxiety,Benzodiazepines,Practice relaxation techniques,"Nervousness, sweating, rapid heartbeat"
Schizophrenia,Antipsychotics,"Regular medication, therapy","Hallucinations, disorganized thinking, social withdrawal"
Fever,Paracetamol,Stay hydrated and rest,"High temperature, chills, body ache"
Cough,Cough Syrup,Avoid cold drinks,"Dry cough, sore throat, difficulty breathing"
Migraine,Ibuprofen,"Stay in a quiet, dark room","Headache, nausea, sensitivity to light"
Hypertension,Amlodipine,"Reduce salt intake, exercise regularly","High blood pressure, dizziness, shortness of breath"
Diabetes,Metformin,"Maintain a low-sugar diet, regular check-ups","Frequent urination, fatigue, weight loss"
